Источник,Компания,Оценка,Тональность,Дата,Год,Длина_слов,Есть_текст,Тип_мебели,Эмоциональность,Цена_упомянута_руб,Жалоба: Доставка/сроки,Жалоба: Качество товара,Жалоба: Сервис/персонал,Жалоба: Цена/деньги/возврат,Жалоба: Несоответствие описанию
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,38.0,1,Не определено,1.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,39.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,48.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,28.0,1,Мягкая,2.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,23.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,19.0,1,Не определено,4.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,19.0,1,Не определено,2.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,17.0,1,Не определено,1.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,22.0,1,Не определено,1.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,16.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,15.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,11.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,15.0,1,Не определено,0.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,12.0,1,Не определено,3.0,,0,0,0,0,0
Google,Мир Мебели,1.0,Негатив (1-2★),2022-06-01,2022.0,10.0,1,Не определено,2.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2021-06-01,2021.0,3.0,1,Не определено,2.0,,0,0,0,0,0
Google,Мир Мебели,5.0,Позитив (4-5★),2022-06-01,2022.0,1.0,1,Не определено,0.0,,0,0,0,0,0
Google,Магазины мебели в Иркутске Мебельный Двор,1.0,Негатив (1-2★),2020-06-01,2020.0,33.0,1,Не определено,0.0,,0,0,0,0,0
Google,Магазины мебели в Иркутске Мебельный Двор,1.0,Негатив (1-2★),2021-06-01,2021.0,42.0,1,Не определено,0.0,,0,0,0,0,0
Google,Магазины мебели в Иркутске Мебельный Двор,5.0,Позитив (4-5★),2018-06-01,2018.0,2.0,1,Не определено,0.0,,0,0,0,0,0
Google,Магазины мебели в Иркутске Мебельный Двор,5.0,Позитив (4-5★),2022-06-01,2022.0,,0,Не определено,,,0,0,0,0,0
Google,Магазины мебели в Иркутске Мебельный Двор,3.0,Нейтрально (3★),2019-06-01,2019.0,,0,Не определено,,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2018-06-01,2018.0,33.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,4.0,Позитив (4-5★),2019-06-01,2019.0,17.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2020-06-01,2020.0,17.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,2.0,Негатив (1-2★),2019-06-01,2019.0,27.0,1,Не определено,0.0,568000.0,0,0,0,0,0
Google,Март,1.0,Негатив (1-2★),2022-06-01,2022.0,16.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,4.0,Позитив (4-5★),2020-06-01,2020.0,11.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2020-06-01,2020.0,9.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2019-06-01,2019.0,7.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,3.0,Нейтрально (3★),2018-06-01,2018.0,12.0,1,Не определено,1.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2018-06-01,2018.0,16.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2019-06-01,2019.0,8.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2018-06-01,2018.0,7.0,1,Не определено,0.0,,0,0,0,0,0
Google,Март,5.0,Позитив (4-5★),2022-06-01,2022.0,6.0,1,Не определено,0.0,,0,0,0,0,0
